isolate	pub_id	Seg-1	Seg-2	Seg-3	Seg-4	Seg-5	Seg-6	Seg-7	Seg-8	Seg-9	Seg-10	host	country	collection_year	collection_month	collection_month_day	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells	clinical_symptoms		
SPA2009/01	26252219	KP820901	KP821021	KP821143	KP821263	KP821383	KP821503	KP821625	KP821745	KP821866	KP821986	Bos taurus	Spain	2009			field	Galicia	blood	E1C6/36 1BHK5	Mammalian			
SPA2010/01	26252219	KP820950	KP821070	KP821192	KP821312	KP821432	KP821552	KP821674	KP821794	KP821914	KP822035	Bos taurus	Spain	2010	SEP		field	Cadiz-Vejer de la Frontera	blood	E1C636 1BHK4	Mammalian			
SPA2012/01	26252219	KP820977	KP821097	KP821219	KP821339	KP821459	KP821579	KP821701	KP821821	KP821941	KP822062	Bos taurus	Spain	2012	AUG		field		blood	E1BHK1V2	Mammalian			
SUD1983/01	26252219	KP820951	KP821071	KP821193	KP821313	KP821433	KP821553	KP821675	KP821795	KP821915	KP822036	Bos taurus	Sudan	1983	OCT	11	field	Shambat	blood	E1BHK2	Mammalian			
SUD1983/01	20422575, 18570969		AJ585166				AJ586677						Sudan	1983			field							
SUD1983/01	19649272			DQ186825								Bos taurus	Sudan	1983	OCT	11	field	Shambat	blood	E1BHK2	Mammalian			
SUD1983/05	26252219	KP820916	KP821036	KP821158	KP821278	KP821398	KP821518	KP821640	KP821760	KP821880	KP822001	Culicoides	Sudan	1983	OCT		field	Nyala	Culicoides sp.	LD3BHK5	Mammalian			
SUD1985/01	20422575		AJ585155				AJ586666						Sudan	1985			field							
SUD1987/01	26252219	KP820902	KP821022	KP821144	KP821264	KP821384	KP821504	KP821626	KP821746	KP821867	KP821987		Sudan	1987	APR	16	field		Culicoides imicola	E2BHK2PP1BHK2	Mammalian			
SUD1987/01	18570969		AJ585117				AJ586658		AM900383				Sudan	1987	APR	16	field			E2BHK2PP1BHK2	Mammalian			
SW	10475085		AF135222					AF172831			AF135229	Ovis aries	China	1988			field	Wuxi		?BHK?	Mammalian			
SZ97/1	22205723	JN848759	JN848760	JN848761	JN848762	JN848763	JN848764	JN848765	JN848766	JN848767	JN848768	Ovis aries	China	1997			field	Yunnan	blood					
TC/05	UP			AB449047								Bos taurus	Japan				field	Tochigi	blood					
Tirunelveli	UP										AY366301		India											
Tirupati 1	18649903		DQ641923										India				field	Tirupati		BHK?	Mammalian			
Tirupati 2	UP		EU427466									Ovis aries	India				field	Andhra Pradesh	blood	BHK?	Mammalian			
TK2/05	UP			AB449040								Bos taurus	Japan				field	Tochigi	blood					
TM/05	UP			AB449048								Bos taurus	Japan				field	Tochigi	blood					
TN				AY383038									India											
TO 4-3	21187684			AB106889		LC175356 		AB473807			AB473808	Ovis aries	Japan	1994	OCT/NOV		field	Tochigi	blood	HmLu-1?	Mammalian			
TO2-1	22422063		AB686218				AB686232					Ovis aries	Japan	1994			field	Tochigi	blood	E1V3HmLu-1/9	Mammalian			
TOV	19046507	GQ982522	EU839840	GQ982523	GQ982524	EU839841	EU839842	EU839843	EU839844	EU839845	EU839846	Capra aegagrus hircus	Switzerland	2007	DEC	14	field	Toggenburg	blood					
TR-Afyon2012	UP	KC924402										Ovis aries	Turkey	2012	OCT	1	field							
Tulkarem	UP		KF584190									Ovis aries	Israel	2012	OCT	9	field		blood					
TUN2000/01	26252219	KP820917	KP821037	KP821159	KP821279	KP821399	KP821519	KP821641	KP821761	KP821881	KP822002		Tunisia	2000	FEB	3	field			E1BHK5	Mammalian			
TUN2000/01	20422575		AJ585156				AJ586668						Tunisia	2000			field							
TUN2000/01	19649272			DQ186826									Tunisia	2000	FEB	3	field			E1BHK5	Mammalian			
TUN2000/01	18598726					AM773689							Tunisia	2000	FEB	3	field			E1BHK5	Mammalian			
TUN2007/01	26252219	KP820903	KP821023	KP821145	KP821265	KP821385	KP821505	KP821627	KP821747	KP821868	KP821988	Ovis aries	Tunisia	2007	SEP		field		blood	KC1	Culicoides sp.			
TUN2011	25239524	KJ577104	KJ577105	KJ577106	KJ577107	KJ577108	KJ577109	KJ577110	KJ577111	KJ577112	KJ577113	Ovis aries	Tunisia	2011			field		blood	KC1BSR1	Culicoides-Mammalian			
TUN2016	28299883	KY432369	KY432370	KY432371	KY432372	KY432373	KY432374	KY432375	KY432376	KY432377	KY432378	Ovis aries	Tunisia	2016	NOV	22	field	Gouvernorat de Nabeul,delegation Beni Khalled, Imada Hannous				yes		
TUN2017	29386141	MF124282	MF124283	MF124284	MF124285	MF124286	MF124287	MF124288	MF124289	MF124290	MF124291	Ovis aries	Tunisia	2017	JAN	3	field	Gafsa	blood	No	No	No		
Tunisian strain	UP							AF469115			AF469114	Ovis aries	Tunisia				field							
TUR1978/01	18570969		AJ585165				AJ586679		AM900373				Turkey	1978	AUG		field			E1BHK5	Mammalian			
TUR1998/02	26252219	KP820971	KP821091	KP821213	KP821333	KP821453	KP821573	KP821695	KP821815	KP821935	KP822056	Ovis aries	Turkey	1998	OCT		field	Aydin	blood	E1BHK1V2	Mammalian			
TUR2000/01	26252219	KP820874	KP820994	KP821116	KP821236	KP821356	KP821476	KP821598	KP821718	KP821839	KP821959		Turkey	2000			field	Seferihisar-Izmir		E3BHK9	Mammalian			
TUR2000/01	20422575, 18570969		AJ585146				AJ586691			EU220296			Turkey	2000			field	Seferihisar-Izmir		E3BHK9	Mammalian			
TUR2000/01	19649272			DQ186827									Turkey	2000			field	Seferihisar-Izmir		E3BHK9	Mammalian			
TUR2000/02	20422575		AJ585147				AJ586692						Turkey	2000			field							
TUR2000/03	26252219	KP820972	KP821092	KP821214	KP821334	KP821454	KP821574	KP821696	KP821816	KP821936	KP822057		Turkey	2000			field	Manisa		E2BHK9	Mammalian			
TUR2000/03	18570969		AJ585175				AJ586684		AM900376				Turkey	2000			field	Manisa		E2BHK9	Mammalian			
TUR2000/03	UP					AM778445							Turkey	2000			field	Manisa		E2BHK9	Mammalian			
TUR2000/04	20422575		AJ585176				AJ586685						Turkey	2000			field							
TUR2000/05	20422575		AJ585177				AJ586686						Turkey	2000			field							
TUR2000/10	20422575		AJ585148				AJ586693						Turkey	2000			field							
TUR2000/10	18598726					AM773696							Turkey	2000			field	Dikili-Izmir		E2BHK6	Mammalian			
TUR2001/02	26252219	KP820973	KP821093	KP821215	KP821335	KP821455	KP821575	KP821697	KP821817	KP821937	KP822058	Ovis aries	Turkey	2001	JAN		field	Aydin	blood	E1BHK1V1BHK1	Mammalian			
TURvvvv/04-Turkey-vaccine	20422575		AJ585164				AJ586680						Turkey				vaccine							
TV4/ISR-2114/15							KY513459					Bos taurus	Israel	2015	OCT	15	field		blood					
UC-2	UP						U03284						USA											
UC-8	UP						U03285						USA											
UKG2007/06	26252219	KP820957	KP821077	KP821199	KP821319	KP821439	KP821559	KP821681	KP821801	KP821921	KP822042	Bos taurus	United Kingdom	2007	SEP	21	field	Baylham-Ipswich-Suffolk	blood	KC1	Culicoides sp.			
UP	UP			AY383039									India											
US	2845683		M21946										USA											
US prototype 1	8764098									U55796			USA											
US prototype 2	8764098									U55797			USA											
US prototype 3	8764098									U55798			USA											
US prototype 4	8764098									U55799			USA											
US prototype 5	8764098									U55801			USA											
US16/05	UP			AB449041								Bos taurus	Japan				field	Tochigi	blood					
USA prototype 019ODV9301	19901276					FJ713352					FJ713332		South Africa				reference	Onderstepoort						
USA prototype 022ODV9301	19901276					FJ713353					FJ713333		South Africa				reference	Onderstepoort						
USA prototype 023ODV8901	19901276					FJ713354					FJ713334		South Africa				reference	Onderstepoort						
USA prototype 21ODV9901	19901276					FJ713351					FJ713331		South Africa				reference	Onderstepoort						
USA prototype 600557	19901276					FJ713337					FJ713317		South Africa				reference	Onderstepoort						
USA prototype 600558	19901276					FJ713336					FJ713316		South Africa				reference	Onderstepoort						
USA prototype 600561	19901276					FJ713342					FJ713322		South Africa				reference	Onderstepoort						
USA prototype 600565	19901276					FJ713338					FJ713318		South Africa				reference	Onderstepoort						
USA prototype 600566	19901276					FJ713339					FJ713319		South Africa				reference	Onderstepoort						
USA prototype 600567	19901276					FJ713340					FJ713320		South Africa				reference	Onderstepoort						
USA prototype 600568	19901276					FJ713341					FJ713321		South Africa				reference	Onderstepoort						
USA prototype 600570	19901276					FJ713343					FJ713323		South Africa				reference	Onderstepoort						
USA prototype 600571	19901276					FJ713344					FJ713324		South Africa				reference	Onderstepoort						
USA prototype 600576	19901276					FJ713347					FJ713327		South Africa				reference	Onderstepoort						
USA prototype 600577	19901276					FJ713348					FJ713328		South Africa				reference	Onderstepoort						
USA prototype 600578	19901276					FJ713349					FJ713329		South Africa				reference	Onderstepoort						
USA prototype 600579	19901276					FJ713350					FJ713330		South Africa				reference	Onderstepoort						
USA prototype 600604	19901276					FJ713345					FJ713325		South Africa				reference	Onderstepoort						
USA prototype 600672	19901276					FJ713346					FJ713326		South Africa				reference	Onderstepoort						
USA prototype NVSL053191	19901276					FJ713355					FJ713335		South Africa				reference	Onderstepoort						
USA2003	24916442	KF986512	KF986499	KF986500	KF986506	KF986502	KF986517	KF986509	KF986510	KF986513	KF986511	Bos taurus	USA	2003	DEC	2	field	Florida-Manatee	blood	BHK?	Mammalian			
USA2003/FL 279313		KX164109	KX164110	KX164111	KX164112	KX164113	KX164114	KX164115	KX164116	KX164117	KX164118	Ovis aries	USA	2003	OCT		field	Marion County, Florida	blood	E1BHK2E1BHK?	Mammalian	Yes		
USA2003/FL 280559-3		KX164129	KX164130	KX164131	KX164132	KX164133	KX164134	KX164135	KX164136	KX164137	KX164138	Bos taurus	USA	2003	OCT	21	field	Manatee County, Florida	blood	E1BHK?	Mammalian			
USA2003/FL 280559-7		KX164059	KX164060	KX164061	KX164062	KX164063	KX164064	KX164065	KX164066	KX164067	KX164068	Bos taurus	USA	2003	OCT	21	field	Manatee County, Florida	blood	E1BHK?	Mammalian			
USA2005/FL 402286		KX164139	KX164140	KX164141	KX164142	KX164143	KX164144	KX164145	KX164146	KX164147	KX164148	Ovis aries	USA	2005	OCT	5	field	Marion County, Florida	blood					
USA2006	24916442	KF986496	KF986495	KF986488	KF986492	KF986514	KF986490	KF986505	KF986508	KF986504	KF986498	Bos taurus	USA	2006	DEC	13	field	Florida-Hillsbrough	blood	BHK?	Mammalian			
USA2006/01	20428242	GQ506536	GQ506537	GQ506538	GQ506539	GQ506540	GQ506541	GQ506542	GQ506543	GQ506544	GQ506545	Bos taurus	USA	2006	OCT	11	field	Okeechobee county, Florida	blood	E1BHK4	Mammalian			
USA2007/FL 520518		KX164149	KX164150	KX164151	KX164152	KX164153	KX164154	KX164155	KX164156	KX164157	KX164158	Odocoileus virginianus	USA	2007	OCT	15	field	Marion County, Florida	spleen					
USA2008/AR 566195		KX164029	KX164030	KX164031	KX164032	KX164033	KX164034	KX164035	KX164036	KX164037	KX164038	Odocoileus virginianus	USA	2008			field	Chicot County, Arkansas	lung					
USA2008/FL 576307		KX164069	KX164070	KX164071	KX164072	KX164073	KX164074	KX164075	KX164076	KX164077	KX164078	Cervidae	USA	2008	OCT	23	field	Putnam County, Florida	spleen					
USA2008/TX 576181		KX164079	KX164080	KX164081	KX164082	KX164083	KX164084	KX164085	KX164086	KX164087	KX164088	Odocoileus virginianus	USA	2008			field	Palo Pinto County, Texas	spleen					
USA2010	23750753	JQ822248	JQ822249	JQ822250	JQ822251	JQ822252	JQ822253	JQ822254	JQ822255	JQ822256	JQ822257	Bos taurus	USA	2010	AUG		field	Northern Sacramento Valley-California	blood	BPAEC?	Mammalian			
USA2010/FL 10-044273		KX164019	KX164020	KX164021	KX164022	KX164023	KX164024	KX164025	KX164026	KX164027	KX164028	Ovis aries	USA	2010	SEP	2	field	Alachua County, Florida	blood					
USA2011/TX 11-56803-18	26069226	KM580446	KM580450	KM580445	KM580447	KM580448	KM580451	KM580443	KM580452	KM580444	KM580449	Odocoileus virginianus	USA	2011	OCT	15	field	Nacogdoches-Texas		E1BHK1BPAE1	Mammalian			
USA2011/TX 11-56803-3	26069226	KM580413	KM580420	KM580417	KM580419	KM580415	KM580422	KM580418	KM580414	KM580416	KM580421	Odocoileus virginianus	USA	2011	AUG	15	field	Gillespie-Texas		E1BHK1BPAE1	Mammalian			
USA2011/TX 11-56803-5	26069226	KM580432	KM580426	KM580425	KM580428	KM580430	KM580424	KM580431	KM580427	KM580423	KM580429	Odocoileus virginianus	USA	2011	AUG	15	field	Frio-Texas		E1BHK1BPAE1	Mammalian			
USA2011/TX 11-56803-9	26069226	KM580439	KM580435	KM580442	KM580433	KM580436	KM580434	KM580437	KM580438	KM580441	KM580440	Odocoileus virginianus	USA	2011	SEP	15	field	Brazos-Texas	spleen	E1BHK1BPAE1	Mammalian			
USA2011/TX 128184-11	26069226	KM580454	KM580453	KM580462	KM580457	KM580461	KM580459	KM580460	KM580458	KM580456	KM580455	Canis familiaris	USA	2011	OCT	15	field	Denton-Texas	Aborted embryos	E1BHK1BPAE1	Mammalian			
USA2012/KS 120659-12	26069226	KM580469	KM580464	KM580465	KM580463	KM580467	KM580471	KM580468	KM580466	KM580470	KM580472	Canis familiaris	USA	2012	SEP	15	field	Frankfort-Kansas	Aborted embryos	E1BHK1BPAE1	Mammalian			
USA2012/LA 12-046093		KX164089	KX164090	KX164091	KX164092	KX164093	KX164094	KX164095	KX164096	KX164097	KX164098	Odocoileus virginianus	USA	2012	SEP	18	field	East Feliciana Parish, Louisiana	spleen					
USA2012/SD 12-035694		KX164039	KX164040	KX164041	KX164042	KX164043	KX164044	KX164045	KX164046	KX164047	KX164048	Cervidae	USA	2012	SEP		field	Charles Mix County, South Dakota	blood					
USA2013/CA 13-034210		KX164099	KX164100	KX164101	KX164102	KX164103	KX164104	KX164105	KX164106	KX164107	KX164108	Antilocapra americana	USA	2013	SEP	12	field	Los Angeles County, California	blood					
USA2013/FL 13-037190	26069226	KM580479	KM580478	KM580481	KM580476	KM580475	KM580480	KM580473	KM580482	KM580477	KM580474	Odocoileus virginianus	USA	2013	OCT	18	field	Williston-Florida		E1BHK1BPAE1	Mammalian			
USA2013/WA 13-031503	26069226	KM580490 	KM580491	KM580486	KM580483	KM580484	KM580485	KM580487	KM580492	KM580489	KM580488	Lama glama	USA	2013	AUG	26	field	Franklin-Washington		E1BHK1BPAE1	Mammalian			
USA2014/FL 15-008010		KX164119	KX164120	KX164121	KX164122	KX164123	KX164124	KX164125	KX164126	KX164127	KX164128	Odocoileus virginianus	USA	2014	OCT	8	field	Alachua County, Florida	spleen					
USA2015/TX 15-029176		KX164049	KX164050	KX164051	KX164052	KX164053	KX164054	KX164055	KX164056	KX164057	KX164058	Bos taurus	USA	2015	AUG	24	field	Washington County, Texas	blood					
UTKR-03/2012	29120083		KY947345									Ovis aries	India	2012	SEP		field	Telangana	blood	KC?BHK?	Culicoides-Mammalian	yes		
V015	26865326		KT945048									Bos taurus	China	2013	JUL		field	Yunnan-Dehong	blood	E1C6/36 1BHK3	Mammalian			
V084	26865326		KT945042									Bos taurus	China	2012	SEP		field	Yunnan-Shizong	blood	E1C6/36 1BHK5	Mammalian			
V089	26865326		KT945046									Bos taurus	China	2014	AUG		field	Guangdong-Shantou	blood	C6/36 1BHK3	Aedes albopictus-Mammalian			
V115	26865326		KT945047									Capra aegagrus hircus	China	2014	JUN		field	Guangdong-Shantou	blood	C6/36 1BHK4	Aedes albopictus-Mammalian			
V133	26865326		KT945043									Bos taurus	China	2014	JUN		field	Guangdong-Shantou	blood	C6/36 1BHK3	Aedes albopictus-Mammalian			
V134	26865326		KT945044									Bos taurus	China	2012	SEP		field	Yunnan-Shizong	blood	E1C6/36 1BHK5	Mammalian			
V136	26865326		KT945045									Bos taurus	China	2012	OCT		field	Yunnan-Shizong	blood	E1C6/36 1BHK3	Mammalian			
V137	26865326		KT945049									Bos taurus	China	2012	OCT		field	Yunnan-Shizong	blood	E1C6/36 1BHK4	Mammalian			
V196/XJ/2014	UP	KX695170	KX695171	KX695172	KX695173	KX695174	KX695175	KX695176	KX695177	KX695178	KX695179	Capra aegagrus hircus	China	2014	SEP	20	field	Xinjiang	blood	E1C6/36 1BHK5	Mammalian	No		
V3036	15041187			AY277935							AF529052	Bos taurus	Australia				field		blood	E?C6/36?BHK?	Mammalian			
V3209	15041187			AY277931							AF529053		Australia				field		blood	E?C6/36?BHK?	Mammalian			
V349	10475085		AF135219					AF172827			AF135225	Bos taurus	China	1996			field	Ershang	blood	?BHK?	Mammalian			
V3548	15041187			AY277930							AF529054		Australia				field		blood 	E?C6/36?BHK?	Mammalian			
V3598	15041187			AY277933							AF529055		Australia				field		blood	E?C6/36?BHK?	Mammalian			
V3692	15041187			AY277932							AF529056		Australia				field		blood 	E?C6/36?BHK?	Mammalian			
V4014	15041187			AY277934							AF529057		Australia				field		blood 	E?C6/36?BHK?	Mammalian			
V413	10475085		AF135220					AF172828			AF135226	Bos taurus	China	1996			field	Dehong	blood	?BHK?	Mammalian			
V440	10475085		AF135218					AF172826			AF135224	Bos taurus	China	1996			field	Jinghong	blood	?BHK?	Mammalian			
V442	10475085							AF172829			AF135227	Bos taurus	China	1996			field	Jinghong	blood	?BHK?	Mammalian			
V4445	15041187			AF529048									Australia				field		blood 	E1C6/36 1BHK?	Mammalian			
V447	10475085		AF135221					AF172830			AF135228	Bos taurus	China	1996			field	Ershang	blood	?BHK?	Mammalian			
v6963	22514341	JQ086291	JQ086292	JQ086293	JQ086294	JQ086295	JQ086296	JQ086297	JQ086298	JQ086299	JQ086300	Bos taurus	Australia	2007			field	Beatrice Hill-Northern Territory	blood					
v7291-DPP7291	22514341	JQ086241	JQ086242	JQ086243	JQ086244	JQ086245	JQ086246	JQ086247	JQ086248	JQ086249	JQ086250	Bos taurus	Australia	2008			field	Douglas Daly-Northern Territory	blood	BSR3	Mammalian			
v8184	29169390	KY485091	MF384494	MF384556	MF384618	MF384680	MF384742	MF384804	MF384866	MF384926	MF384990	Bos taurus	Australia	2010			field	Queensland	blood			No		
V837	UP									DQ289042			Australia				field							
VAC10	9712508										AF044376		USA				vaccine			?BHK?	Mammalian			
VAC11	9712508										AF044377		USA				vaccine			?BHK?	Mammalian			
VAC17	9712508										AF044378		USA				vaccine			?BHK?	Mammalian			
vaccine derived from USA BTV-10 CA8	8764098		U06786							U55800		Ovis aries	USA				vaccine			E?BHK1	Mammalian			
vaccine/ZAF/2014/Onderstepoort-OBPvaccine- batch115-expiry11102015-MLV8	30551703, 27340051	KT317685	KT317686	KT317687	KT317688	KT317692	KT317689	KT317691	KT317693	KT317690	KT317694	Ovis aries	South Africa	2014	JUN	13	vaccine			V2	Mammalian			
VJW-64	UP						GU931315					Ovis aries	India		OCT		field	Krishna-Andhra Pradesh		BHK?	Mammalian			
Vjw-64/08/IND	23353779		JN572917			KF289016	JN572918					Ovis aries	India				field	Andhra Pradesh						
VJW66/IND	UP		JN106022									Ovis aries	India		NOV		field	Krishna-Andhra Pradesh	blood					
W20	22258368		JF443157									Ovis aries	India				field	Warangal-Andhra Pradesh		E3BHK?	Mammalian			
WGV-103/2008	29120083		KY947344									Ovis aries	India	2008	SEP		field	Andhra Pradesh	blood	KC?BHK?	Culicoides-Mammalian	yes		
WGV103/ABT/HSR	UP	KF560417	KF560418	KF560419	KF560420	KF560421	KF560422	KF560423	KF560424	KF560425	KF560426	Ovis aries	India	2008			field	Andhra Pradesh	blood					
WGV104/08/Ind	25703157		KF563945									Ovis aries	India				field	West Godavari-Andhra Pradesh	blood					
WRC 1/71	26780892										KJ506697			1972	AUG	24				V?	Mammalian			
WT10/05	UP			AB449042								Bos taurus	Japan				field	Tochigi	blood					
XJ1407	27597166	KR815991	KR061882	KR085413	KR085414	KR085415	KR061883	KR085416	KR085417	KR085418	KR085419	Capra aegagrus hircus	China	2014	JUL	14	field	Xinjiang	blood	E?C6/36 1BHK2	Mammalian	No		
Y-39	UP			AB106887								Bos taurus					field		blood	HmLu-1?	Mammalian			
Y863_1979	23846265	KC879615	KC879616	KC879617	KC879618	KC879619	KC879620	KC879621	KC879622	KC879623	KC879624	Ovis aries	China	1979			field	Shizhong-Yunnan	blood					
Y863_1986	10475085		AF135217					AF172825			AF135223	Ovis aries	China	1986			field	Shizong		?BHK?	Mammalian			
YF47	25343975					KM485310						Ovis aries	China	1997			field							
YF47-3	UP							FJ947066					China											
YO24/05	UP			AB449043								Bos taurus	Japan				field	Tochigi	blood					
YST-4	23118453	JX560413	JX560414	JX560415	JX560416	JX560417	JX560418	JX560419	JX560420	JX560421	JX560422	Bos taurus	China	1997	SEP		field	Mangshi-Dehong-Yunnan	blood	E1C6/36 1BHK4	Mammalian			
Z462	15041187			AY277929							AF529058		Australia				field		blood 	E?C6/36?BHK?	Mammalian			
ZIM2002/01	UP		AJ585179				AJ586698					Bos taurus	Zimbabwe	2002	AUG	10	field			E1BHK2	Mammalian			
ZIM2003/04	17586061	EF059730										Culicoides	Zimbabwe	2003			field	Lone Oak	Culicoides imicola	E1BHK3	Mammalian			
ZIM2003/08	UP	EF059732					AJ586717					Culicoides	Zimbabwe	2003			field	Tural Stud	Culicoides imicola	E1BHK2	Mammalian			
ZIM2003/09	UP						AJ586718					Culicoides	Zimbabwe	2003			field	Tural Stud	Culicoides magnus	E1BHK2	Mammalian			
ZIM2003/10	19649272			DQ186828								Culicoides	Zimbabwe				field	Lone Oak	Culicoides imicola	E1BHK3	Mammalian			
CYP2016/01	31947695	MN710077	MN710193	MN710106	MN710135	MN710164	MN710222	MN710251	MN710280	MN710309	MN710338	Ovis aries	Cyprus	2016	Sep		field	Pyla, Larnaca	blood	KC1BSR1KC1	Culicoides - Mammalian			
CYP2016/02	31947695	MN710078	MN710194	MN710107	MN710136	MN710165	MN710223	MN710252	MN710281	MN710310	MN710339	Ovis aries	Cyprus	2016	Sep		field	Pyla, Larnaca	blood	KC3BSR1	Culicoides - Mammalian			
CYP2016/03	31947695	MN710079	MN710195	MN710108	MN710137	MN710166	MN710224	MN710253	MN710282	MN710311	MN710340	Ovis aries	Cyprus	2016	Sep		field	Pyla, Larnaca	blood	KC3	Culicoides 			
CYP2016/04	31947695	MN710080	MN710196	MN710109	MN710138	MN710167	MN710225	MN710254	MN710283	MN710312	MN710341	Ovis aries	Cyprus	2016	Sep		field	Troulli, Larnaca	blood	KC3	Culicoides 			
CYP2016/05	31947695	MN710081	MN710197	MN710110	MN710139	MN710168	MN710226	MN710255	MN710284	MN710313	MN710342	Ovis aries	Cyprus	2016	Sep		field	Pyla, Larnaca	blood	KC1Vero1KC3	Culicoides - Mammalian			
CYP2010/01	31947695	MN710082	MN710198	MN710111	MN710140	MN710169	MN710227	MN710256	MN710285	MN710314	MN710343	Capra aegagrus hircus	Cyprus	2010			field	Pegeia, Paphos	blood	KC2	Culicoides 			
CYP2010/02	31947695	MN710083	MN710199	MN710112	MN710141	MN710170	MN710228	MN710257	MN710286	MN710315	MN710344	Capra aegagrus hircus	Cyprus	2010			field	Pegeia, Paphos	blood	KC3	Culicoides 			
CYP2014/01	31947695	MN710084	MN710200	MN710113	MN710142	MN710171	MN710229	MN710258	MN710287	MN710316	MN710345	Bos taurus	Cyprus	2014			field	Nicosia	blood	KC4	Culicoides 			
ISR2009/02	31947695	MN710085	MN710201	MN710114	MN710143	MN710172	MN710230	MN710259	MN710288	MN710317	MN710346	Ovis aries	Israel	2009	Mar	30	field	Ein Ha Tzeva 	blood	KC3	Culicoides 			
ISR2009/03	31947695	MN710086	MN710202	MN710115	MN710144	MN710173	MN710231	MN710260	MN710289	MN710318	MN710347	Ovis aries	Israel	2009	Mar	30	field	Ein Ha Tzeva 	blood	KC3	Culicoides 			
ISR2009/13	31947695	MN710087	MN710203	MN710116	MN710145	MN710174	MN710232	MN710261	MN710290	MN710319	MN710348	Bos taurus	Israel	2009	Jul	22	field	Ayelet Ha Shahar	blood	E1BHK2KC1	Mammalian-Culicoides			
ISR2009/14	31947695	MN710088	MN710204	MN710117	MN710146	MN710175	MN710233	MN710262	MN710291	MN710320	MN710349	Bos taurus	Israel	2009	Jul	22	field	Ayelet Ha Shahar	blood	KC4	Culicoides 			
ISR2010/18	31947695	MN710089	MN710205	MN710118	MN710147	MN710176	MN710234	MN710263	MN710292	MN710321	MN710350	Bos taurus	Israel	2010	May	20	field	Bet Chilkia	blood	E1V1KC3	Mammalian-Culicoides			
ISR2011/04	31947695	MN710090	MN710206	MN710119	MN710148	MN710177	MN710235	MN710264	MN710293	MN710322	MN710351		Israel	2011			field			KC1	Culicoides 			
ISR2010/33	31947695	MN710091	MN710207	MN710120	MN710149	MN710178	MN710236	MN710265	MN710294	MN710323	MN710352		Israel	2010			field			KC1BHK1KC2	Culicoides - Mammalian			
ISR2010/36	31947695	MN710092	MN710208	MN710121	MN710150	MN710179	MN710237	MN710266	MN710295	MN710324	MN710353		Israel	2010			field			KC1BHK1KC2	Culicoides - Mammalian			
RSArrrr/05_passage_history_2	31947695	MN710093	MN710209	MN710122	MN710151	MN710180	MN710238	MN710267	MN710296	MN710325	MN710354	Ovis aries	South Africa	1953			reference			E2BHK7	Mammalian			
RSArrrr/07_passage_history_2	31947695	MN710094	MN710210	MN710123	MN710152	MN710181	MN710239	MN710268	MN710297	MN710326	MN710355	Ovis aries	South Africa	1955			reference			E1BHK10	Mammalian			
RSArrrr/10_passage_history_2	31947695	MN710095	MN710211	MN710124	MN710153	MN710182	MN710240	MN710269	MN710298	MN710327	MN710356	Ovis aries	Portugal	1956			reference			BHK7	Mammalian			
RSArrrr/11_passage_history_2	31947695	MN710096	MN710212	MN710125	MN710154	MN710183	MN710241	MN710270	MN710299	MN710328	MN710357	Ovis aries	South Africa	1944			reference			E1BHK7	Mammalian			
RSArrrr/12_passage_history_2	31947695	MN710097	MN710213	MN710126	MN710155	MN710184	MN710242	MN710271	MN710300	MN710329	MN710358	Ovis aries	South Africa	1941			reference			E1BHK8	Mammalian			
RSArrrr/13_passage_history_2	31947695	MN710098	MN710214	MN710127	MN710156	MN710185	MN710243	MN710272	MN710301	MN710330	MN710359	Ovis aries	South Africa	1959			reference			E1BHK7	Mammalian			
RSArrrr/17_passage_history_2	31947695	MN710099	MN710215	MN710128	MN710157	MN710186	MN710244	MN710273	MN710302	MN710331	MN710360		USA	1979			reference			S3E2LK7BHK11	Mammalian			
RSArrrr/18_passage_history_2	31947695	MN710100	MN710216	MN710129	MN710158	MN710187	MN710245	MN710274	MN710303	MN710332	MN710361	Ovis aries	South Africa	1976			reference			E1BHK8	Mammalian			
RSArrrr/19_passage_history_2	31947695	MN710101	MN710217	MN710130	MN710159	MN710188	MN710246	MN710275	MN710304	MN710333	MN710362	Ovis aries	South Africa	1976			reference			E3BHK8	Mammalian			
RSArrrr/20_passage_history_2	31947695	MN710102	MN710218	MN710131	MN710160	MN710189	MN710247	MN710276	MN710305	MN710334	MN710363	Culicoides	Australia	1975			reference			E2BHK1CER1BHK5	Mammalian			
RSArrrr/21_passage_history_2	31947695	MN710103	MN710219	MN710132	MN710161	MN710190	MN710248	MN710277	MN710306	MN710335	MN710364	Bos taurus	Australia	1979			reference			V3BHK16	Mammalian			
RSArrrr/22_passage_history_2	31947695	MN710104	MN710220	MN710133	MN710162	MN710191	MN710249	MN710278	MN710307	MN710336	MN710365	Culicoides	South Africa	1992			reference			E2BHK1CER1BHK5	Mammalian			
RSArrrr/23_passage_history_2	31947695	MN710105	MN710221	MN710134	MN710163	MN710192	MN710250	MN710279	MN710308	MN710337	MN710366	Bos taurus	Australia	1987			reference			E1CER2BHK5	Mammalian			
SPvvvv/02		MN723870	MN723871	MN723872	MN723873	MN723874	MN723875	MN723876	MN723877	MN723878	MN723879		Jordan	2014			Sheeppox vaccine			BSR2	Mammalian			
